x Desnivel 3,y Desnivel 3,z Desnivel 3,i Desnivel 3,sep ,x Desnivel 2,y Desnivel 2,z Desnivel2,i Desnivel2
-3,34,-9,374,,0,10,15,374
-5,-52,60,373,,-2,29,-16,378
-2,25,-1,358,,-3,-56,71,372
-7,-45,52,289,,-3,36,-17,366
0,18,8,231,,-3,-62,69,312
-4,20,-7,156,,-4,38,-11,225
-2,-43,61,87,,-3,-55,62,153
-5,22,-5,10,,-2,29,,
-2,-47,59,0,,1,77,,
2,-7,28,0,,-3,-46,48,6
-6,-13,24,0,,-1,-52,73,0
0,-15,35,0,,-3,30,-21,0
-1,15,-2,0,,0,-55,75,0
-4,-41,52,0,,-3,3,32,0
0,-22,44,0,,-3,-20,14,0
-4,0,4,0,,-2,-17,47,0
-6,-37,44,0,,-3,39,-13,0
0,13,17,0,,-1,-63,57,0
-5,-33,29,0,,-4,35,6,0
0,-47,59,0,,-6,31,-16,0
-3,30,-9,0,,2,-64,74,0
-6,-16,17,0,,-6,48,-24,0
0,-15,46,0,,-6,-18,16,0
-5,3,2,0,,1,-18,53,0
-2,-59,61,12,,-8,15,-5,0
-2,33,-2,89,,-2,-66,66,0
-6,-51,50,130,,-7,36,0,52
-3,23,15,194,,-8,35,-24,113
-6,40,-22,278,,3,-64,82,157
1,-67,78,337,,-9,49,-25,235
-4,48,-23,370,,1,-70,79,306
-4,-70,71,379,,-8,46,-20,363
,,,,,0,-66,67,375
-5,47,-13,378,,-8,39,-3,379
-4,-60,60,374,,-3,-50,52,377
-4,30,3,357,,-6,23,11,369
-6,-41,42,282,,-5,-36,36,329
-3,11,23,209,,-3,9,28,258
-6,-20,24,128,,-9,35,-10,180
-1,-8,45,64,,-1,-50,65,10
-8,40,-13,0,,5,,,
-3,-57,63,0,,-8,31,-6,29
-7,34,0,0,,-2,-48,58,0
-8,14,-5,0,,-7,25,4,0
1,-40,69,0,,-11,1,11,0
-8,26,-12,0,,2,-25,49,0
-8,-39,36,0,,-3,19,8,0
-1,8,27,0,,-7,-40,46,0
-7,34,-15,0,,-1,14,15,0
0,-56,70,0,,-8,13,1,0
-8,39,-10,0,,-1,-39,56,0
