x Desb 3,y Desb 3,z Desb 3,i Desb 3,sep,x Desb 4,y Desb 4,z Desb 4,i Desb 4
-9,-2,23,18,,32,-11,81,0
-9,-2,22,17,,49,0,86,0
-8,-2,24,18,,47,13,57,0
-8,-3,23,18,,44,-45,97,0
-7,-3,23,17,,53,-26,90,0
-5,-4,24,18,,44,-5,49,0
,,,,,48,-46,91,0
-5,-3,24,17,,50,-2,56,0
-5,-4,24,18,,32,-40,56,0
-4,-4,24,17,,37,,,
-1,-5,25,17,,,-24,59,0
0,-6,25,17,,28,16,22,0
1,-6,26,17,,24,-67,73,0
1,-7,26,17,,19,-12,17,0
1,-8,28,18,,14,-75,56,0
4,-9,28,17,,12,-78,63,0
4,-10,28,18,,12,-13,0,56
8,-12,30,17,,19,-104,62,114
8,-13,31,17,,16,-18,0,175
8,-15,32,17,,19,-101,49,260
9,-15,32,17,,13,-34,6,327
11,-18,32,17,,17,-84,33,364
13,-18,34,18,,10,-39,8,377
15,-19,36,17,,5,-20,-7,381
15,-21,36,17,,16,-76,40,373
14,-21,36,18,,2,-12,-14,363
14,-21,36,17,,13,-65,38,301
15,-22,36,17,,3,-5,-23,218
15,-21,36,18,,12,-66,35,149
14,-21,37,17,,2,-2,-18,67
13,-21,35,17,,10,-52,29,0
13,-23,34,17,,10,11,-9,0
14,-21,35,17,,4,3,-10,0
15,-22,36,17,,6,-32,38,0
14,-21,35,17,,-5,16,-2,0
12,-21,34,18,,-24,-22,4,0
12,-21,33,17,,-26,8,-6,0
12,-21,33,17,,-32,30,-37,0
,,,,,-38,-38,13,0
,,,,,-44,33,-43,0
12,-20,33,17,,-45,-34,-3,0
10,-19,32,18,,-37,30,-40,0
7,-18,32,18,,-41,22,-38,0
7,-18,30,17,,-30,-19,11,0
7,-16,31,18,,-33,40,-31,0
6,-16,31,18,,-32,-14,18,0
4,-13,30,17,,-33,51,-18,70
0,-13,29,18,,-27,-4,3,
0,-12,29,17,,5,120,,
-1,-11,27,17,,-34,59,0,169
0,-11,28,17,,-30,8,34,236
-1,-9,28,17,,-26,11,40,315
-4,-8,27,17,,-35,53,12,358
-6,-9,26,17,,-21,10,54,367
-6,-8,24,16,,-27,60,23,369
-6,-8,26,18,,-14,12,66,363
-5,-7,26,17,,-16,54,31,353
-7,-6,26,17,,-3,37,56,216
-8,-6,24,17,,5,11,84,199
-9,-5,23,17,,5,11,84,172
-9,-5,23,17,,18,33,41,104
-8,-4,22,17,,19,-8,90,28
-8,-4,23,17,,34,0,87,0
-10,-3,22,17,,31,5,61,0
-13,-2,22,17,,35,-22,93,0
-13,-2,21,17,,51,8,70,0
-11,-2,22,18,,43,2,56,0
-11,0,21,18,,48,-40,100,0
-11,-2,22,18,,49,10,45,0
-12,-1,22,18,,40,-26,58,0
-12,-2,21,18,,51,-28,79,0
-1,,,,,34,-9,37,0
2,-1,22,17,,32,-58,71,0
-10,-1,22,17,,35,0,41,0
-10,-1,23,18,,24,2,16,0
-10,-1,22,18,,32,-,,
-10,-3,22,18,,67,80,0,
-9,-3,22,17,,21,3,3,0
-6,-3,24,18,,12,-43,32,0
-6,-2,25,17,,17,-59,49,0
-6,-3,24,18,,15,-6,1,57
-6,-4,24,17,,15,-95,54,111
-5,-4,24,17,,19,-30,15,175
-2,-4,25,17,,13,-87,39,255
-1,-5,26,17,,17,-53,20,328
0,-6,26,17,,17,-64,19,366
0,-7,27,17,,17,-68,34,378
0,-8,27,18,,4,-28,1,382
2,-9,27,17,,14,-65,32,374
4,-10,27,17,,3,-16,-13,364
7,-12,30,17,,15,-64,41,301
8,-13,31,17,,1,-6,-24,220
7,-14,31,17,,4,-48,15,152
8,-16,32,17,,7,-20,1,80
11,-18,32,17,,3,-36,10,7
13,-20,34,17,,17,-51,41,0
15,-20,36,17,,7,18,-16,0
14,-20,36,17,,5,-43,38,0
14,-22,37,17,,2,-12,20,0
13,-22,35,17,,-23,2,-16,0
15,-22,35,18,,-20,-18,16,0
16,-21,37,17,,-27,27,-24,0
15,-21,38,18,,-46,-31,2,0
12,-2,,,,-41,20,-25,0
1,35,17,,,-53,-19,-19,0
13,-22,34,18,,-38,7,-19,0
14,-22,35,17,,-45,3,-23,0
16,-21,38,17,,-,,,
14,-21,36,18,,35,-28,9,0
12,-21,34,18,,-29,42,-32,0
