x Desb 3,y Desb 3,z Desb 3,i Desb 3,sep,x Desb 4,y Desb 4,z Desb 4,i Desb 4,sep,x Desb 5,y Desb 5,z Desb 5,i Desb 5
1,,,,,43,-15,59,0,,-6,23,6,369
2,-22,32,18,,49,-35,83,0,,14,-37,55,355
13,-21,30,18,,36,-4,38,0,,-2,26,7,294
13,-22,32,18,,33,-48,68,0,,3,-4,18,222
14,-21,33,18,,35,-12,44,0,,13,-18,52,149
11,-20,32,18,,14,-40,46,0,,3,5,11,82
10,-20,32,18,,26,-32,50,0,,13,-43,52,9
8,-18,29,18,,16,-,,,,10,14,20,0
8,-18,30,18,,14,11,0,,,11,-39,44,0
7,-16,31,18,,15,-77,64,0,,22,-46,66,0
6,-16,30,17,,15,-13,6,0,,8,17,1,0
2,-15,29,17,,11,-37,18,32,,14,-30,30,0
0,-15,27,17,,17,-81,47,97,,14,18,7,0
0,-13,28,17,,15,-40,11,152,,14,18,7,0
0,-13,28,17,,18,-83,43,224,,10,-1,6,0
-2,-12,28,17,,14,-45,8,303,,10,-1,6,0
-5,-11,28,17,,17,-79,38,353,,18,-49,47,0
-8,-10,25,17,,11,-35,0,374,,20,-42,56,0
-7,-10,26,17,,10,-69,32,382,,15,8,17,0
-7,-9,27,17,,7,-22,0,376,,8,-41,37,0
-8,-8,27,17,,5,-29,2,373,,21,-47,59,0
-10,-6,26,17,,11,-53,28,348,,8,9,2,0
-11,-6,25,17,,2,-12,-18,264,,7,-32,33,0
-11,-5,24,17,,10,-64,32,189,,19,-15,30,0
-11,-4,25,17,,3,0,-19,117,,2,-27,22,55
-11,-5,25,17,,14,-53,38,38,,13,-53,48,113
-12,-3,24,17,,7,16,-17,0,,11,4,6,159
-14,-4,23,18,,4,-5,-3,0,,10,-48,49,228
-13,-2,23,18,,2,-25,31,0,,10,5,5,294
-13,,,,,-8,23,-13,0,,3,-50,44,348
,-2,24,18,,-21,-29,14,0,,,,,
-14,0,24,18,,-30,18,-16,0,,,,,
-14,0,23,18,,-43,-23,-7,0,,13,-34,42,368
-14,-2,22,18,,-39,-34,14,0,,2,0,5,377
-13,0,22,17,,,,,,,8,-37,52,375
-10,-1,24,18,,-44,28,-47,0,,-2,13,-6,368
-10,0,24,18,,-39,-31,3,0,,1,-50,57,356
-10,0,24,18,,-39,31,-44,0,,5,0,23,307
-10,-1,24,18,,-35,-24,3,0,,-9,-18,21,221
-8,-1,23,17,,-32,33,-26,0,,0,-13,40,158
-7,-2,25,18,,-34,27,-26,0,,-13,-1,2,79
-5,-2,24,17,,-30,-1,14,0,,-4,-31,55,8
-5,-2,25,17,,-36,41,-11,37,,-6,30,-4,0
-4,-4,24,17,,-26,2,32,98,,-14,-47,48,0
-4,-4,24,18,,-36,54,0,141,,-9,22,14,0
-1,-5,25,17,,-37,30,17,196,,-12,37,-21,0
1,-6,26,17,,-27,29,31,284,,-11,-58,68,0
1,-5,26,17,,-37,38,24,344,,-10,48,-18,0
1,-6,26,17,,-23,24,44,364,,-14,-55,64,0
2,-8,27,17,,-29,46,30,370,,-15,45,-4,0
3,-8,26,17,,-12,21,63,365,,-15,32,-13,0
6,-9,28,17,,-18,52,35,358,,-11,-42,69,0
7,-10,29,17,,0,17,75,342,,-13,47,-21,0
9,-11,29,17,,-2,52,38,267,,-11,-48,73,0
9,-13,30,17,,10,7,88,207,,-16,54,-19,0
9,-13,30,17,,15,40,38,141,,-10,-47,65,0
11,-16,31,18,,12,8,65,68,,-13,-12,52,12
14,-16,32,17,,35,5,79,8,,-10,23,-4,85
15,-17,33,17,,31,0,66,0,,-8,-30,62,130
14,-18,34,18,,38,-32,104,0,,-8,35,-5,194
14,-20,33,17,,48,18,61,0,,0,-36,63,271
14,-20,33,18,,41,0,59,0,,-9,34,-3,338
,,,,,51,-40,96,0,,2,-,,
,,,,,48,6,45,0,,37,56,363,
16,-20,35,18,,40,-36,75,0,,-7,28,4,375
16,-21,35,18,,50,-18,66,0,,0,4,16,376
15,-21,34,18,,32,-21,48,0,,4,-14,49,368
14,-23,33,18,,34,-59,77,0,,0,8,9,368
14,-22,34,18,,33,4,,,,11,-30,44,337
15,-22,34,18,,29,0,,,,-1,15,19,256
14,-21,34,18,,20,-14,27,0,,11,-27,42,184
14,-23,34,17,,30,-54,72,0,,6,8,29,121
13,-22,32,18,,18,-11,8,0,,9,-26,34,45
12,-21,34,17,,12,-61,50,0,,19,-43,59,0
13,-20,33,18,,16,-36,28,0,,5,17,4,0
8,-19,30,17,,8,-56,33,45,,9,-20,25,0
