x Normal 1,y Normal 1,z Normal 1,i Normal 1,SEP, x Normal 4, y Normal 4, z Normal 4, i Normal 4,SEP, x Normal 3, y Normal 3, z Normal 3, i Normal 3
,0,,,,-8,15,15,0,,-5,0,20,0
-5,4,20,0,,1,-4,20,0,,8,-27,33,0
5,-19,32,0,,2,-26,40,0,,1,0,26,0
2,-5,27,0,,-7,9,20,0,,-7,4,18,0
-7,6,15,0,,7,-22,31,0,,10,-29,39,0
9,-27,44,0,,5,-32,46,0,,-5,9,19,0
4,-8,29,0,,-8,18,11,0,,-2,-14,29,0
-2,-16,28,1,,6,-38,45,0,,7,-14,33,0
8,-15,35,62,,-4,-12,40,0,,-5,10,19,0
-4,5,14,109,,0,1,14,0,,7,-33,39,0
8,-35,42,158,,9,-36,42,0,,10,-22,42,0
-1,8,20,220,,-9,18,19,0,,-5,5,16,0
6,-34,35,297,,-6,9,12,0,,11,-34,42,0
1,0,28,341,,6,-32,45,62,,3,1,25,26
