x 2fases 1,y 2fases 1,z 2fases 1,i 2fases 1,,x 2fases 5,y 2fases 5,z 2fases 5,i 2fases 5
6,-14,2,0,,6,0,40,481
7,-41,51,0,,-2,10,26,547
-6,-11,33,0,,-3,23,42,568
6,-2,34,0,,-2,39,26,514
-7,16,33,0,,-14,2,45,441
-9,30,20,0,,-1,35,14,373
-2,13,44,0,,-8,-21,40,321
-8,22,38,0,,2,4,18,253
-9,23,27,0,,-3,-38,29,104
-4,5,34,0,,5,-23,16,0
-10,4,25,0,,13,-25,15,0
4,-17,25,0,,2,-54,38,0
3,-30,32,0,,7,-33,25,0
-1,-19,15,39,,8,-28,24,0
11,-49,31,157,,1,-26,35,0
3,-31,20,247,,11,1,24,0
10,-31,13,318,,-4,-8,40,0
8,-36,40,386,,-5,-6,51,0
4,-12,18,41,,-1,40,15,0
5,,,,,-9,16,32,0
1,-12,43,474,,-7,23,35,0
-1,14,29,537,,-4,20,25,0
0,16,33,568,,-13,-10,52,0
-9,22,36,516,,2,16,12,0
-6,17,33,449,,0,,,
-3,17,27,365,,-6,17,0,
-5,2,31,325,,-4,-30,32,0
3,-12,23,257,,13,-23,13,65
-3,-24,27,114,,1,-49,36,165
12,-35,17,0,,11,-39,27,262
5,-45,25,0,,8,-36,21,337
12,-40,27,0,,7,-36,35,393
10,-42,22,0,,5,-6,16,427
4,-45,32,0,,2,-18,55,472
13,-13,19,0,,1,32,9,533
2,-29,38,0,,-1,8,24,567
2,-15,56,0,,-4,21,43,538
4,29,6,0,,-2,27,17,463
-1,-4,31,0,,-7,-2,48,389
-5,33,34,0,,0,28,12,330
2,51,-2,0,,-4,-22,32,285
-8,-17,64,0,,6,-13,22,158
0,40,4,0,,5,-35,25,18
1,6,12,0,,10,-46,28,0
-5,-37,41,0,,8,-38,18,0
6,-6,13,0,,12,-50,24,0
8,-12,6,0,,9,-32,32,0
2,-55,37,79,,8,-15,12,0
8,-30,13,186,,9,-36,45,0
7,-41,11,279,,-1,18,17,0
8,,,,,2,9,22,0
-56,41,343,,,0,-8,44,0
6,-9,1,392,,-4,35,20,0
9,-41,60,421,,-4,8,41,0
-3,29,4,473,,-1,7,38,0
-2,4,19,528,,-,,,
0,17,47,560,,3,21,27,0
-8,30,20,519,,-4,1,27,0
-4,3,49,457,,3,-16,31,0
-8,39,17,381,,-5,-8,21,0
-5,-8,31,332,,6,-39,22,0
-2,-10,31,257,,7,-52,33,70
1,-14,16,116,,3,-25,11,177
5,-46,33,0,,8,-63,39,268
-1,-32,26,0,,6,-22,13,350
14,-42,15,0,,7,-25,13,398
3,-44,42,0,,5,-26,36,439
2,-10,12,0,,2,0,32,475
10,-45,41,0,,0,12,32,532
-8,8,23,0,,-10,13,39,569
2,13,14,0,,-4,25,40,528
0,-2,51,0,,-5,17,30,451
-9,29,28,0,,-9,21,34,385
-3,15,38,0,,3,0,12,217
-2,10,47,0,,6,-23,17,180
-13,33,22,0,,6,-23,17,138
0,-3,36,0,,0,-46,35,9
-2,2,31,0,,8,-19,15,0
-11,4,21,0,,2,-57,35,0
4,-27,30,0,,2,-49,34,0
0,-23,21,10,,13,-17,14,0
-1,-24,14,125,,9,-32,31,0
12,-53,33,228,,4,-14,37,0
4,-27,18,308,,-2,8,24,0
12,-41,33,374,,-4,-8,40,0
-2,-11,21,41,,-4,31,27,0
4,,,,,0,,,
8,-17,40,460,,,39,16,0
