x Desb 5,x Desb 4 ,x Desb 3,x Desb 2 ,z Desb 5 ,z Desb 4,z Desb 3 ,z Desb 2 
8,13,-35,-40,-14,44,-23,5
4,5,-39,-40,39,-9,6,-20
0,4,-38,-48,14,-16,-1,-14
-20,13,-36,-40,-10,43,11,-15
-18,2,-31,-40,24,-27,23,-20
-28,7,-34,-33,-25,5,13,14
-46,6,-25,-40,6,15,48,-30
-41,0,-34,-40,-31,-31,13,18
-52,12,-16,-38,-16,37,60,-8
-4,14,-24,-32,,34,24,23
0,4,11,-27,-21,-16,82,40
-45,6,5,-32,-19,39,56,1
-35,-14,5,-27,9,-28,56,36
-29,-14,1,-25,-31,30,35,34
-37,-34,1,-28,10,-33,35,32
-31,-34,1,,-9,16,64,
-32,-44,23,-15,22,-44,72,68
-25,-41,17,-18,33,0,41,23
-34,73,25,-5,-3,,92,78
-25,-45,43,-6,43,-39,,35
-34,-35,,5,12,-4,88,74
-25,-37,32,14,51,-22,56,87
-25,-40,49,5,21,1,99,36
-21,-35,51,27,63,-5,64,93
-13,-40,34,23,36,12,78,44
-9,-31,53,40,66,16,96,101
3,-40,44,35,49,13,42,51
-1,-27,45,46,44,47,98,99
11,-34,50,43,81,9,68,52
13,-30,26,38,45,51,42,49
28,-24,47,51,91,52,71,95
37,-28,33,34,70,21,21,37
32,-13,16,50,81,73,75,86
49,-11,24,33,86,41,16,29
47,-16,8,23,57,59,50,60
44,3,18,32,97,57,27,48
53,-5,4,11,90,34,29,38
44,8,9,19,49,88,56,59
48,16,16,24,91,71,-8,22
50,11,9,10,56,52,49,46
32,20,16,21,56,94,3,50
37,35,8,10,,53,31,12
,37,15,14,59,100,8,46
28,51,5,9,22,65,18,2
24,41,12,5,73,90,18,17
19,57,-2,19,17,66,3,30
14,49,6,11,56,40,40,3
12,46,5,12,63,98,-28,40
12,48,-4,13,0,29,-9,-6
19,35,6,8,62,83,26,38
16,33,-4,12,0,27,-24,-7
19,18,1,0,49,63,27,23
13,30,11,0,6,29,-8,
17,13,5,9,33,0,-24,26
10,17,1,1,8,76,43,-19
5,13,-10,0,-7,-6,-29,23
16,15,-20,-4,40,69,29,-24
2,,,-5,-14,,,18
13,14,,3,38,-10,,-12
3,15,-21,-2,-23,14,11,20
12,19,-43,-2,35,49,-26,0
2,17,-38,-9,-18,-2,13,-17
10,17,-45,-19,29,49,-46,28
10,14,-39,-29,-9,7,10,-27
4,11,-35,-35,-10,25,-27,16
6,9,-45,-40,38,15,-11,-33
-5,5,-36,-43,-2,-17,-38,1
-24,10,-34,-31,4,36,25,15
-26,9,-36,-31,-6,28,-18,15
-32,4,-32,-37,-37,-17,34,-11
-38,11,-31,-39,13,36,3,-32
-44,2,-32,-35,-43,-7,35,23
-45,5,-28,-38,-3,8,30,-19
-37,10,-30,-27,-40,16,31,35
-41,5,-19,-33,-38,-22,50,0
-30,8,-22,-30,11,42,38,9
-33,-10,-4,0,-31,-24,65,
-32,-16,-11,-21,18,23,41,58
-33,-29,14,-26,-18,-21,77,17
-27,-36,6,-23,3,5,48,50
5,364,10,-16,,,76,38
-34,-43,24,-16,0,-23,83,58
-30,-49,19,0,34,-17,44,56
-26,-43,22,-2,40,-49,78,49
-35,-30,4,14,12,8,,77
-21,-38,2,6,54,-34,76,41
-27,-35,37,18,23,15,52,86
-14,-37,43,26,66,-16,104,53
-16,-32,47,30,31,25,51,88
-3,-35,38,39,56,3,59,72
5,-40,56,36,84,-6,91,79
5,-24,50,49,84,51,53,75
18,-29,38,34,41,25,81,67
19,-34,43,50,90,31,43,79
34,-25,36,28,87,40,23,46
31,-28,39,42,61,36,88,87
35,-19,36,40,93,71,50,32
51,-14,15,24,70,30,48,73
43,-9,19,31,56,72,45,72
48,3,9,17,100,74,23,24
49,-7,17,22,45,40,53,58
40,0,12,27,58,72,7,35
51,16,17,7,79,56,55,32
34,13,10,21,37,36,-8,44
32,29,15,13,71,99,55,13
35,32,14,8,41,48,-12,34
24,31,12,15,16,72,51,17
32,52,12,8,,91,-14,5
