x 2 fases 1 ,x desnível 5 ,i 2 fases 1,i desnível 5,x 2 Fases 2,i 2 Fases 2
-12,0,500,274,-5,391
-6,-6,430,348,0,337
-4,-2,358,373,0,288
-12,-3,308,382,4,183
6,-2,236,382,1,37
5,-4,78,375,11,0
0,-3,0,357,7,0
11,-3,0,295,8,0
3,-6,0,209,12,0
23,0,0,149,2,0
13,2,0,0,6,
-2,-6,0,0,-40,
4,-6,0,0,1,0
-3,-8,0,0,1,0
-6,2,0,0,0,0
-2,-4,0,0,-1,0
-10,-5,0,0,-6,0
0,-3,0,0,-6,0
-8,-7,0,0,-6,0
6,0,0,0,-7,0
-1,0,0,0,-2,0
1,-8,0,0,1,0
12,-3,0,,1,0
5,,18,,3,86
11,-7,123,0,3,187
11,-5,237,0,6,271
6,1,317,0,7,341
13,-9,376,0,8,389
-2,0,411,0,-3,427
3,-2,451,13,5,469
6,-8,507,87,-3,532
-5,1,557,129,-7,564
-4,-8,533,185,-6,524
2,-3,469,269,-9,450
-9,-6,396,331,-8,386
-2,-6,281,367,-6,321
1,-2,163,380,-4,253
0,-8,21,378,-1,112
9,-1,0,373,2,0
2,-9,0,363,8,0
10,0,0,317,2,0
9,-4,0,235,9,0
8,-5,0,171,9,0
7,-3,0,82,1,0
6,-6,0,12,8,0
-3,0,0,0,-3,0
-2,-5,0,0,0,0
-6,-2,0,0,-1,0
-5,-3,0,0,-4,0
-7,-6,0,0,-5,0
-5,0,0,0,-3,0
330,-2,0,0,-7,0
-2,-2,0,0,-2,
0,-3,0,0,,0
1,-5,0,0,4,0
7,1,72,0,-5,0
1,-4,176,0,9,10
10,-5,264,0,9,115
6,-2,340,0,7,219
0,-5,391,0,11,304
8,0,480,0,6,369
-5,-4,543,49,12,409
-7,-2,557,1,0,451
1,8,502,,3,506
-7,-5,429,166,-3,554
-7,-2,364,240,-4,541
-2,-2,303,307,0,474
-10,-3,244,360,-9,402
-3,0,99,375,3,351
2,-6,0,382,-5,304
9,1,0,375,0,184
9,-5,0,369,8,43
8,-2,0,214,5,0
3,-2,0,197,10,0
10,2,0,180,8,0
3,-4,0,105,8,0
10,-4,0,24,4,0
0,1,0,0,3,0
-16,-9,0,0,2,0
2,2,0,0,0,0
1,0,0,0,0,
-7,-7,0,0,-16,
-1,-2,0,0,-3,0
-7,-5,0,0,-6,0
-6,-5,0,0,-6,0
-1,3,0,0,-5,0
0,-8,0,0,-5,0
6,0,93,,-1,0
-2,2,200,,-3,0
15,-4,282,0,2,0
5,-8,353,0,6,58
7,0,394,0,3,165
16,-6,432,0,10,265
-2,-4,478,0,5,338
8,0,537,15,5,392
2,-8,557,88,1,422
-5,1,500,129,3,469
5,-9,438,187,-1,534
-7,-2,374,266,-6,566
-8,-7,309,334,-5,525
-1,-7,241,367,-7,448
-4,0,96,380,-7,379
0,-9,0,378,-5,317
5,0,0,373,-9,255
1,-8,0,363,3,116
2,0,0,314,1,0
12,-8,0,243,9,0
5,-6,0,177,8,0
8,0,0,111,5,0
8,-7,0,29,9,0
7,-1,0,0,5,0
4,-5,0,0,,
5,-1,0,0,6,0
-3,-3,0,0,4,0
-5,-6,0,0,-2,0
-5,0,0,0,-4,0
-6,-1,0,0,-4,0
-7,-5,0,0,-6,0
-3,0,0,0,-5,0
0,-5,40,0,-4,0
0,1,129,,-8,0
2,0,243,,4,0
8,-4,304,0,0,0
2,-6,376,0,2,0
9,0,460,0,10,102
8,-2,512,0,2,209
3,-3,561,0,13,290
9,-4,541,41,9,364
-8,-4,458,105,9,404
-4,-2,393,152,2,447
-2,-5,332,228,0,488
-8,0,281,296,3,540
-6,-5,175,360,-5,553
-6,-2,32,376,-2,497
-11,-3,0,382,-4,433
0,-4,0,379,-9,369
0,-3,0,374,5,321
-4,-3,0,340,-5,249
8,-3,0,269,9,109
4,-6,0,188,0,0
7,-1,0,114,8,0
9,-6,0,48,8,0
2,0,0,0,8,0
10,-6,0,0,9,0
42,-6,0,0,10,0
-2,0,0,0,3,0
1,-5,0,0,3,0
-1,-4,0,0,2,
-8,-2,0,0,,
-2,-7,0,0,-2,0
-8,0,0,0,-5,0
-2,-7,64,0,-4,0
-4,-8,170,0,-6,0
2,,267,,-2,0
6,,343,,-4,0
-2,0,393,0,-2,0
17,-6,416,0,3,0
5,-6,460,0,1,10
7,-4,517,0,7,121
14,-8,559,0,7,225
1,0,533,0,5,298
11,-3,458,50,8,373
0,-7,393,109,4,405
-6,-2,342,158,-2,449
5,-8,291,223,0,510
-1,-1,178,307,-3,561
-8,-8,36,356,-8,549
-1,-5,0,375,-5,485
-6,-4,0,382,-10,403
1,-6,0,377,-6,344
6,-2,0,374,-5,290
0,-7,0,352,0,186
5,-2,0,286,3,49
6,-5,0,209,0,0
8,-4,0,145,11,0
11,-4,0,60,9,0
4,-4,0,0,4,0
5,-3,0,0,10,0
2,-7,0,0,,
-2,0,0,0,3,0
-3,-4,0,0,5,0
-7,-4,0,0,3,0
-3,-2,0,0,-5,0
-6,-4,0,0,-2,0
-2,0,94,0,-3,0
-4,-3,186,0,-9,0
3,-6,282,0,-7,0
2,0,349,0,-3,0
4,-6,399,0,-8,0
10,-4,433,,4,0
4,,492,,0,0
8,-2,542,0,3,63
7,-5,555,0,9,166
1,1,500,0,9,259
8,-6,414,61,10,336
-7,-5,363,115,7,396
-3,1,309,170,11,424
-4,-6,241,237,0,476
-9,2,99,308,0,529
-8,-5,0,364,-1,555
-7,3,0,376,-7,513
-9,-7,0,381,0,446
1,0,0,377,-6,375
0,-6,0,369,0,337
-1,0,0,330,-3,279
9,1,0,253,4,125
3,-7,0,174,11,0
10,2,0,104,2,0
7,-9,0,21,10,0
2,3,0,0,10,0
6,-9,0,0,6,0
-1,-7,0,0,9,0
2,-1,0,0,4,0
-7,-7,0,0,0,0
-5,0,0,0,1,
-5,-5,0,0,,
-9,-9,14,0,3,0
3,2,114,0,-6,0
-7,-3,226,0,-5,0
5,-7,370,,-5,0
4,,403,,-8,0
0,-2,441,0,0,0
16,-8,484,0,-3,0
4,-2,531,0,0,0
7,-6,556,0,5,0
12,-8,507,0,-1,86
4,0,432,9,8,193
8,-7,367,81,7,285
3,-7,312,125,8,348
-7,-3,248,185,1,400
0,-6,99,262,4,427
-3,-4,0,329,-4,487
-6,-8,0,368,-2,550
1,1,0,378,-5,559
-8,-3,0,379,-8,505
-3,-5,0,373,-7,430
8,-4,0,363,-10,357
0,-7,0,310,2,312
9,-2,0,236,-5,244
6,-7,0,169,0,92
8,-2,0,99,6,0
-61,-5,0,36,-2,0
11,-2,0,0,13,0
3,-3,0,0,4,0
2,-5,0,0,2,0
0,-3,0,0,10,
0,-3,0,0,30,
-2,-2,0,0,-1,0
-7,-2,15,0,5,0
-5,-4,121,0,-1,0
-8,0,216,0,-8,0
-4,-5,300,0,-1,0
-5,-5,364,,-3,0
3,,445,0,-10,0
5,-2,510,0,-4,0
9,-5,552,0,-5,0
9,0,545,0,0,0
6,-4,482,0,7,0
7,0,398,0,0,31
6,1,341,22,6,137
-2,-4,278,97,7,240
4,1,171,133,7,308
-4,-5,32,210,13,384
-5,4,0,283,3,414
-6,-3,0,340,7,459
-7,-4,0,369,-5,512
-8,1,0,381,0,549
-5,-6,0,380,-3,534
-8,3,0,375,-6,470
-6,-6,0,358,0,406
0,2,0,292,-8,346
1,-7,0,206,4,309
5,1,0,141,0,222
3,0,0,62,5,67
8,-6,0,0,12,0
8,0,0,0,5,0
5,-9,0,0,10,0
15,0,0,0,12,0
1,3,0,0,4,0
-5,-9,0,0,7,0
0,1,38,0,2,0
-8,-3,151,0,-3,
-4,-8,254,0,0,
-3,1,319,0,4,0
-10,-8,381,0,0,0
4,,411,,-9,0
-5,-3,453,0,-2,0
8,0,552,0,-6,0
2,-9,535,0,-2,0
3,-4,461,0,0,0
11,-3,391,0,-2,0
6,-9,339,0,0,0
7,0,266,24,3,37
8,-7,138,99,8,140
4,-1,10,142,6,242
3,-7,0,208,7,315
2,-5,0,288,8,378
-5,-4,0,348,0,413
-1,-7,0,373,1,456
-3,0,0,382,0,518
-8,-8,0,377,-4,561
3,0,0,373,-8,533
2,-5,0,356,-8,464
-1,-2,0,292,-8,392
8,-4,0,213,-7,329
2,-6,0,148,-2,268
12,-2,0,64,-2,123
8,-6,0,0,7,2
8,-1,0,0,4,0
8,-6,0,0,9,0
2,-5,0,0,12,0
4,-1,15,0,2,0
0,-4,109,0,11,
-2,-2,205,0,1,
-4,-2,360,0,7,0
-5,-2,405,0,0,0
-7,-3,438,0,3,0
-7,-5,502,,-5,0
-2,-32,553,,-5,0
2,-1,548,0,-2,0
5,-5,477,0,-9,0
6,-4,399,0,-10,0
10,-3,336,0,3,0
4,-4,290,0,-7,0
7,2,183,10,-4,0
6,-4,48,90,7,0
5,0,0,128,0,76
3,-4,0,205,15,192
0,0,0,278,4,278
-4,1,0,338,9,345
-8,-4,0,368,11,404
-10,3,0,379,6,436
-10,-6,0,380,3,549
-5,2,0,374,2,554
-12,-6,0,358,2,557
-6,-1,0,288,-6,501
1,-6,0,202,-5,434
1,-3,0,129,-1,369
7,-5,0,53,-3,328
9,-3,0,0,5,255
4,1,0,0,2,97
-24,-9,0,0,6,0
10,2,0,0,4,0
0,-2,55,0,7,0
6,-7,168,0,11,0
-4,-1,262,0,5,0
-2,-5,329,0,2,0
-3,-3,3,0,6,0
-6,2,417,0,2,0
-4,-8,469,0,-,
-8,0,522,0,3,0
-3,-4,555,0,3,0
2,-,509,,-8,0
1,8,435,0,-8,0
10,0,369,0,-1,0
8,-8,327,0,-9,0
13,-3,244,0,1,0
9,0,138,72,0,0
5,-8,7,113,-2,0
11,0,0,160,1,0
1,-9,0,231,1,90
1,0,0,304,9,199
2,-2,0,361,6,282
-3,-8,0,374,6,348
-3,0,0,382,8,400
0,-10,0,374,1,434
-9,0,0,373,-3,492
-4,-7,0,342,-4,550
-1,0,0,272,-5,567
-4,-3,0,200,-6,499
6,-8,0,133,-6,435
0,0,0,62,-7,360
5,-6,0,0,-5,309
9,-3,0,0,-3,219
7,-4,0,0,1,68
10,-5,0,0,4,0
89,-1,79,0,2,0
3,-5,194,0,10,0
0,-3,271,0,10,0
0,-2,342,0,2,0
-2,-3,398,0,12,0
-4,-2,434,0,1,0
-5,-5,49,0,1,
-4,-4,552,0,,
-5,-3,561,0,1,0
-3,-5,493,,-8,0
2,,428,0,-8,0
1,0,346,0,-3,0
7,-4,309,0,-6,0
6,0,223,0,-7,0
9,0,77,53,0,0
6,-4,0,109,-6,0
4,2,0,150,7,0
8,-4,0,233,7,33
-3,2,0,302,2,132
0,-4,0,358,11,243
-3,-5,0,374,6,399
-7,2,0,382,-2,406
-5,-6,0,377,-2,423
-4,2,0,375,7,462
-10,-7,0,343,1,512
0,3,0,269,-3,554
-3,-6,0,185,-2,530
-2,1,0,117,-7,461
3,0,0,39,-4,396
1,-6,0,0,-2,329
10,1,0,0,0,291
4,-9,0,0,5,178
7,-2,20,0,0,25
12,-6,134,0,10,0
-2,-8,240,0,5,0
3,2,320,0,9,0
2,-2,380,0,14,0
-2,-9,412,0,1,
-3,0,450,0,40,
-4,-8,506,,9,0
-9,,553,,4,0
-2,-2,523,0,1,0
-7,1,457,0,0,0
5,-9,385,0,2,0
-1,-5,325,0,-9,0
11,-2,261,0,-7,0
11,-8,150,0,-2,0
8,1,13,50,-6,0
11,-8,0,113,1,0
8,-2,0,161,-2,0
8,-5,0,240,-1,0
11,-4,0,316,9,82
0,-5,0,366,5,183
-3,-7,0,376,6,273
2,-1,0,381,8,342
-5,-7,0,374,4,391
-3,-2,0,374,0,422
-3,-5,0,336,1,465
-8,-3,0,259,-3,532
5,-2,0,183,-5,564
0,-5,0,114,-6,532
2,-4,0,37,-7,456
10,-6,0,0,-8,391
1,-1,0,0,-5,320
11,-4,0,0,-3,259
9,-3,89,0,0,136
8,-2,196,0,0,1
5,-4,270,0,8,0
5,-3,348,0,3,0
-1,-2,437,0,9,0
-2,-2,490,0,8,0
-7,-2,548,0,0,0
-2,-4,557,0,8,0
-8,-1,500,0,-3,0
-4,-2,432,,,
-3,-19,361,,1,0
0,-2,304,0,-1,0
0,-4,225,0,-4,0
8,-5,82,0,-6,0
3,0,0,31,-5,0
8,-3,0,103,-7,0
6,1,0,146,-3,0
2,-5,0,226,-2,0
4,2,0,298,-5,0
-3,0,0,352,7,1
-1,-4,0,373,7,89
-1,3,0,382,7,192
-7,-7,0,377,8,276
-8,3,0,374,8,345
-8,-6,0,342,11,399
-9,0,0,269,1,435
-3,-6,0,186,6,477
-6,-2,0,113,0,524
-7,-6,0,34,-3,555
4,-6,0,0,-2,513
4,3,0,0,-3,444
4,-9,0,0,-4,381
8,-5,86,0,-2,319
2,-2,201,0,0,269
10,-6,289,0,7,139
6,0,358,0,1,1
-2,-8,437,0,13,0
4,-3,492,0,7,0
0,4,538,0,6,0
-8,,550,,13,0
-2,,487,,,
-7,-9,414,0,,
-4,1,349,0,1,0
-3,-4,307,0,6,0
-1,-8,183,0,2,0
2,0,40,0,-2,0
5,-7,0,0,0,0
15,-3,0,21,2,0
4,-6,0,101,-4,0
8,-5,0,141,-6,0
12,-3,0,208,-4,0
