normal,2fase,desb,inc,i normal,i 2 fase,i desb ,i inc
-7,2,5,-3,0,123,73,0
0,10,8,-6,0,237,123,0
6,9,-10,-9,0,317,181,0
-3,8,-16,0,0,376,262,0
6,7,-29,-3,0,411,334,0
8,6,-36,-7,0,451,0,0
-5,-3,364,0,0,507,0,0
8,-2,-43,0,0,557,375,0
1,-6,-49,0,0,533,373,0
4,-5,-43,-7,0,469,364,0
8,-7,-30,-2,0,396,327,0
-3,-5,-38,1,0,0,236,0
-1,330,-35,-8,29,0,160,0
6,-2,-37,0,89,281,75,0
-1,0,-32,-4,138,163,3,0
8,1,-35,-6,0,21,0,0
0,7,-40,0,0,0,0,0
-3,1,-24,-7,274,0,0,0
9,10,-29,-8,337,0,0,3
0,6,-34,0,361,0,0,62
3,0,-25,-5,374,0,0,112
3,8,-28,-1,376,0,0,170
-3,-5,-19,-3,370,0,0,253
8,-7,-14,-3,366,0,0,321
-5,1,-9,-2,320,0,0,368
7,-7,3,-5,242,0,0,376
-5,-7,-7,0,180,0,0,378
4,-2,0,-6,99,0,0,375
-1,-10,16,-1,37,0,0,368
-10,-3,13,-5,0,0,0,309
11,2,29,-1,0,0,0,242
-9,9,32,-2,0,0,22,160
-3,9,31,-2,0,0,87,87
7,8,52,-4,0,72,132,2
-7,3,41,-2,0,176,199,0
6,10,55,0,0,264,276,0
7,3,44,-4,0,340,341,0
-7,10,51,-4,0,391,0,0
7,0,0,1,0,0,0,0
0,-16,42,-2,0,0,375,0
-1,2,31,-3,0,480,373,0
0,1,30,0,0,543,368,0
8,-7,19,-3,0,557,358,0
-10,-1,34,0,0,502,290,0
6,-7,13,0,0,429,210,0
6,-6,17,-6,0,364,137,0
-9,-1,14,2,0,303,53,0
4,0,20,-4,50,244,0,0
-3,6,16,-4,111,99,0,0
0,-2,13,2,151,0,0,0
9,15,19,-8,207,0,0,0
-9,5,14,2,285,0,0,24
10,7,19,0,344,0,0,96
-8,16,17,-7,361,0,0,127
5,-2,11,1,375,0,0,182
-3,8,9,-8,374,0,0,268
-10,2,3,1,368,0,0,329
11,-5,11,-4,345,0,0,368
-11,5,4,-6,271,0,0,378
12,-7,6,-3,201,0,0,378
-7,-8,7,-7,130,0,0,376
8,-1,1,0,56,0,0,365
-6,-4,8,-9,0,0,0,320
8,0,14,-4,0,0,15,242
10,5,6,-5,0,0,90,170
-7,1,6,-7,0,0,132,0
10,2,-13,3,0,0,198,0
1,12,-15,-4,0,93,280,22
1,5,-28,-7,0,200,348,0
9,8,-37,0,0,282,0,0
-2,8,33,-8,0,353,0,0
6,7,-43,-2,0,394,375,0
8,0,-45,0,0,0,368,0
-5,0,-42,-8,0,0,357,0
4,4,-41,-5,0,432,302,0
0,5,-38,-4,0,478,210,0
0,-3,-33,-5,0,537,136,0
1,-5,-38,2,0,557,48,0
-4,-5,-28,-8,0,500,0,0
6,-6,-36,-7,0,438,0,0
2,-7,-40,-1,0,374,0,0
0,-3,-24,-7,13,309,0,0
9,0,-36,-2,79,241,0,0
-2,0,-32,-4,120,96,0,0
7,2,-25,-4,175,0,0,13
-2,8,-25,0,240,0,0,75
-1,2,-14,-7,314,0,0,122
9,9,-15,0,353,0,0,177
-5,8,-5,-6,369,0,0,252
8,3,4,-6,374,0,0,319
-5,9,-5,-3,368,0,0,366
9,-8,7,-7,365,0,0,373
5,-4,13,0,334,0,0,377
-4,-2,11,-7,270,0,0,373
5,-8,32,0,205,0,0,367
-6,-6,31,-4,138,0,50,331
5,-6,35,-3,61,0,103,254
-4,-11,52,-3,0,0,151,172
4,0,40,-5,0,0,229,99
10,0,57,-3,0,0,307,20
-9,-4,43,-3,0,0,358,0
1,8,0,0,0,40,0,0
4,4,52,-2,0,129,372,0
-9,7,36,-5,0,243,376,0
8,9,39,-1,0,304,373,0
-5,2,26,-4,0,376,368,0
-6,10,17,-3,0,0,318,0
3,42,16,1,0,0,247,0
-4,-2,12,-2,0,460,174,0
2,1,14,-4,0,512,91,0
7,-1,11,-3,0,561,15,0
0,-8,18,-6,0,541,0,0
0,-2,16,1,0,458,0,0
-2,-8,19,-2,0,393,0,0
7,-2,20,-5,0,332,0,0
-8,-4,16,0,0,281,0,0
5,2,17,-7,44,175,0,0
9,6,16,-7,105,32,0,7
-9,-2,8,2,150,0,0,77
10,17,8,-9,214,0,0,125
-11,5,4,1,296,0,0,175
11,7,11,-8,349,0,0,260
-8,14,3,0,364,0,0,324
9,1,7,-4,376,0,0,366
-6,11,5,-8,373,0,0,375
-10,0,1,0,367,0,0,377
10,-6,12,-7,337,0,0,373
-11,5,13,1,258,0,57,368
12,-1,3,-9,190,0,109,318
-9,-8,3,1,118,0,150,247
8,-1,-16,-3,45,0,226,171
-7,-6,-17,-7,0,0,306,0
9,1,-32,19,0,0,363,0
9,6,-37,-1,0,0,373,25
-8,0,-45,-8,0,0,375,0
5,5,0,-3,0,64,0,0
2,6,-40,-7,0,170,367,0
-5,8,-41,-8,0,267,350,0
10,11,-35,0,0,343,283,0
-5,4,-39,-5,0,393,194,0
-3,0,-38,-7,0,0,126,0
0,5,-39,0,0,416,45,0
8,2,-36,-8,0,460,0,0
-4,-2,-34,-1,0,517,0,0
5,-3,-39,0,0,559,0,0
0,-7,-25,-4,0,533,0,0
-6,-3,-35,-8,0,458,0,0
8,-6,-38,-8,0,393,0,0
4,-2,-23,-4,0,342,0,0
0,-4,-27,-4,25,291,0,0
9,3,-11,-8,88,178,0,0
-3,2,-12,1,126,36,0,52
8,4,-12,-6,186,0,0,103
-2,10,1,-7,253,0,0,151
-1,4,-5,-1,329,0,0,221
8,8,13,-6,357,0,0,300
-5,7,15,0,374,0,0,350
8,1,13,-2,374,0,0,372
-5,8,25,-3,368,0,0,378
9,-7,35,-2,363,0,58,374
3,-3,42,-5,321,0,111,369
-4,-4,50,-2,249,0,169,337
6,-9,44,-6,187,0,250,258
-4,-8,55,-2,115,0,318,184
9,-7,42,-5,42,0,361,0
-5,-9,50,4,0,0,373,0
5,1,32,0,0,0,3,36
-2,0,75,-4,0,0,0,0
-9,-1,38,-2,0,0,369,0
11,9,22,-4,0,94,362,0
2,3,26,-3,0,186,298,0
-1,10,12,3,0,282,223,0
8,7,9,-4,0,349,156,0
-5,2,13,0,0,399,69,0
3,6,10,0,0,433,0,0
0,-1,17,-6,0,492,0,0
6,2,11,0,0,0,0,0
-8,0,17,-5,0,542,0,0
1,-7,21,-6,0,555,0,0
-1,-5,16,1,0,500,0,0
-9,-5,19,-6,0,414,0,0
7,-9,14,-3,0,363,0,0
3,3,15,-4,0,309,0,0
